Card ID,Non-Foil,Foil,Hyperspace,F-Hyperspace,Playset,Total,Tradeable,Missing,Rarity,Unique,Aspect(s),Unnamed: 12,Card Name,Cost,Power,HP,Arena,Keyword(s),Type(s),Trait(s),Restricted,Banned,Errata,SET NAME,SPARK OF REBELLION,Source_Sheet,Pilot HP,Legends of the Force
031,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Villainy,Inferno Four,2.0,2.0,3.0,Space,nan,Unit,"Imperial, Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
032,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Villainy,Scout Bike Pursuer,2.0,1.0,4.0,Ground,Grit,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
033,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Villainy,Death Trooper,3.0,3.0,3.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
034,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Villainy,Del Meeko,3.0,3.0,3.0,Ground,Restore 1,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
035,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Villainy,Lieutenant Childsen,4.0,2.0,2.0,Ground,Sentinel,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
036,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Villainy,Gideon Hask,5.0,5.0,5.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
037,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Villainy,Academy Defense Walker,6.0,5.0,5.0,Ground,Sentinel,Unit,"Imperial, Vehicle, Walker",nan,nan,nan,nan,nan,SOR,,
038,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Villainy,Count Dooku,7.0,5.0,4.0,Ground,Shielded,Unit,"Force, Sith, Separatist",nan,nan,nan,nan,nan,SOR,,
039,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Villainy,AT-AT Suppressor,8.0,8.0,8.0,Ground,nan,Unit,"Imperial, Vehicle, Walker",nan,nan,nan,nan,nan,SOR,,
040,nan,nan,nan,nan,nan,0,NO,3,L,nan,Vigilance,Villainy,Avenger,9.0,8.0,8.0,Space,nan,Unit,"Imperial, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
041,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Villainy,Power of the Dark Side,3.0,nan,nan,nan,nan,Event,Innate,nan,nan,nan,nan,nan,SOR,,
042,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Villainy,Search Your Feelings,4.0,nan,nan,nan,nan,Event,Innate,nan,nan,nan,nan,nan,SOR,,
043,nan,nan,nan,nan,nan,0,NO,3,L,nan,Vigilance,Villainy,Superlaser Blast,8.0,nan,nan,nan,nan,Event,"Tactic, Disaster",nan,nan,nan,nan,nan,SOR,,
044,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Heroism,Restored ARC-170,2.0,2.0,3.0,Space,Restore 1,Unit,"Rebel, Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
045,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Heroism,Yoda,3.0,2.0,4.0,Ground,Restore 2,Unit,"Force, Jedi",nan,nan,nan,nan,nan,SOR,,
046,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Heroism,Consular Security Force,4.0,3.0,7.0,Ground,nan,Unit,"Rebel, Trooper",nan,nan,nan,nan,nan,SOR,,
047,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Heroism,Kanan Jarrus,4.0,4.0,5.0,Ground,nan,Unit,"Force, Jedi, Rebel, Spectre",nan,nan,nan,nan,nan,SOR,,
048,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,Heroism,Vigilant Honor Guards,5.0,4.0,6.0,Ground,Sentinel,Unit,Rebel,nan,nan,nan,nan,nan,SOR,,
049,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Heroism,Obi-Wan Kenobi,6.0,4.0,6.0,Ground,Sentinel,Unit,"Force, Jedi",nan,nan,nan,nan,nan,SOR,,
050,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Heroism,The Ghost,6.0,5.0,5.0,Space,Shielded,Unit,"Rebel, Vehicle, Transport, Spectre",nan,nan,nan,nan,nan,SOR,,
051,nan,nan,nan,nan,nan,0,NO,3,L,nan,Vigilance,Heroism,Luke Skywalker,7.0,6.0,7.0,Ground,Restore 3,Unit,"Force, Jedi, Rebel",nan,nan,nan,nan,nan,SOR,,
052,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Heroism,Redemption,8.0,6.0,9.0,Space,Sentinel,Unit,"Rebel, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
053,nan,nan,nan,nan,nan,0,NO,3,S,nan,Vigilance,Heroism,Luke's Lightsaber,2.0,3.0,1.0,nan,nan,Upgrade,"Item, Weapon, Lightsaber",nan,nan,nan,nan,nan,SOR,,
054,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Heroism,Jedi Lightsaber,3.0,3.0,3.0,nan,nan,Upgrade,"Item, Weapon, Lightsaber",nan,nan,nan,nan,nan,SOR,,
055,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Heroism,The Force Is With Me,4.0,nan,nan,nan,nan,Event,Force,nan,nan,nan,nan,nan,SOR,,
056,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,Vigilance,Bendu,6.0,4.0,7.0,Ground,Sentinel,Unit,"Creature, Force",nan,nan,nan,nan,nan,SOR,,
057,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,Vigilance,Protector,1.0,1.0,1.0,nan,nan,Upgrade,Innate,nan,nan,nan,nan,nan,SOR,,
058,nan,nan,nan,nan,nan,0,NO,3,L,nan,Vigilance,Vigilance,Vigilance,4.0,nan,nan,nan,nan,Event,Innate,nan,nan,nan,nan,nan,SOR,,
059,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,2-1B Surgical Droid,1.0,1.0,3.0,Ground,nan,Unit,Droid,nan,nan,nan,nan,nan,SOR,,
060,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,nan,Distant Patroller,2.0,2.0,1.0,Space,nan,Unit,"Fringe, Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
061,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Guardian of the Whills,2.0,2.0,2.0,Ground,nan,Unit,"Force, Fringe",nan,nan,nan,nan,nan,SOR,,
062,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,nan,Regional Governor,2.0,1.0,4.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
063,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Cloud City Wing Guard,3.0,2.0,4.0,Ground,Sentinel,Unit,"Fringe, Trooper",nan,nan,nan,nan,nan,SOR,,
064,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Wilderness Fighter,3.0,2.0,4.0,Ground,Shielded,Unit,Trooper,nan,nan,nan,nan,nan,SOR,,
065,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,nan,Baze Malbus,4.0,2.0,5.0,Ground,Grit,Unit,Fringe,nan,nan,nan,nan,nan,SOR,,
066,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,System Patrol Craft,4.0,3.0,4.0,Space,Sentinel,Unit,"Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
067,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Rugged Survivors,5.0,3.0,5.0,Ground,Grit,Unit,Fringe,nan,nan,nan,nan,nan,SOR,,
068,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Cargo Juggernaut,6.0,4.0,6.0,Ground,Shielded,Unit,"Vehicle, Tank",nan,nan,nan,nan,nan,SOR,,
069,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Resilient,1.0,0.0,3.0,nan,nan,Upgrade,Innate,nan,nan,nan,nan,nan,SOR,,
070,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,nan,Devotion,1.0,1.0,1.0,nan,nan,Upgrade,Innate,nan,nan,nan,nan,nan,SOR,,
071,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,nan,Electrostaff,2.0,2.0,2.0,nan,nan,Upgrade,"Item, Weapon",nan,nan,nan,nan,nan,SOR,,
072,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,nan,Entrenched,2.0,3.0,3.0,nan,nan,Upgrade,Condition,nan,nan,nan,nan,nan,SOR,,
073,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Moment of Peace,1.0,nan,nan,nan,nan,Event,Innate,nan,nan,nan,nan,nan,SOR,,
074,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Repair,1.0,nan,nan,nan,nan,Event,Supply,nan,nan,nan,nan,nan,SOR,,
075,nan,nan,nan,nan,nan,0,NO,3,R,nan,Vigilance,nan,It Binds All Things,2.0,nan,nan,nan,nan,Event,Force,nan,nan,nan,nan,nan,SOR,,
076,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Make an Opening,3.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
077,nan,nan,nan,nan,nan,0,NO,3,U,nan,Vigilance,nan,Takedown,4.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
078,nan,nan,nan,nan,nan,0,NO,3,C,nan,Vigilance,nan,Vanquish,5.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
079,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Villainy,Admiral Piett,2.0,1.0,4.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
080,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Villainy,General Tagge,2.0,2.0,2.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
081,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Villainy,Seasoned Shoretrooper,2.0,2.0,3.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
082,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Villainy,Emperor's Royal Guard,3.0,3.0,4.0,Ground,nan,Unit,Imperial,nan,nan,nan,nan,nan,SOR,,
083,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Villainy,Superlaser Technician,3.0,2.0,1.0,Ground,nan,Unit,Imperial,nan,nan,nan,nan,nan,SOR,,
084,nan,nan,nan,nan,nan,0,NO,3,S,nan,Command,Villainy,Grand Moff Tarkin,4.0,2.0,3.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
085,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Villainy,Rukh,5.0,3.0,6.0,Ground,Shielded,Unit,Imperial,nan,nan,nan,nan,nan,SOR,,
086,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Villainy,Gladiator Star Destroyer,6.0,5.0,6.0,Space,nan,Unit,"Imperial, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
087,nan,nan,nan,nan,nan,0,NO,3,L,nan,Command,Villainy,Darth Vader,7.0,5.0,7.0,Ground,Ambush,Unit,"Force, Imperial, Sith",nan,nan,nan,nan,nan,SOR,,
088,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Villainy,Blizzard Assault AT-AT,8.0,9.0,9.0,Ground,nan,Unit,"Imperial, Vehicle, Walker",nan,nan,nan,nan,nan,SOR,,
089,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Villainy,Relentless,9.0,8.0,8.0,Space,nan,Unit,"Imperial, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
090,nan,nan,nan,nan,nan,0,NO,3,L,nan,Command,Villainy,Devastator,10.0,10.0,10.0,Space,"Sentinel, Overwhelm",Unit,"Imperial, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
091,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Villainy,The Emperor's Legion,2.0,nan,nan,nan,nan,Event,"Imperial, Supply",nan,nan,nan,nan,nan,SOR,,
092,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Villainy,Overwhelming Barrage,5.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
093,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Heroism,Alliance Dispatcher,1.0,1.0,2.0,Ground,nan,Unit,Rebel,nan,nan,nan,nan,nan,SOR,,
094,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Heroism,Bail Organa,1.0,1.0,2.0,Ground,nan,Unit,"Rebel, Official",nan,nan,nan,nan,nan,SOR,,
095,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Heroism,Battlefield Marine,2.0,3.0,3.0,Ground,nan,Unit,"Rebel, Trooper",nan,nan,nan,nan,nan,SOR,,
096,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Heroism,Mon Mothma,2.0,1.0,3.0,Ground,nan,Unit,"Rebel, Official",nan,nan,nan,nan,nan,SOR,,
097,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Heroism,Admiral Ackbar,3.0,1.0,4.0,Ground,Restore 1,Unit,"Rebel, Official",nan,nan,nan,nan,nan,SOR,,
098,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,Heroism,Echo Base Defender,3.0,4.0,3.0,Ground,Sentinel,Unit,"Rebel, Trooper",nan,nan,nan,nan,nan,SOR,,
099,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Heroism,Bright Hope,4.0,2.0,6.0,Space,Sentinel,Unit,"Rebel, Vehicle, Transport",nan,nan,nan,nan,nan,SOR,,
100,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Heroism,Wedge Antilles,5.0,5.0,5.0,Ground,nan,Unit,Rebel,nan,nan,nan,nan,nan,SOR,,
101,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Heroism,Rogue Squadron Skirmisher,6.0,4.0,6.0,Space,Ambush,Unit,"Rebel, Vehicle, Speeder",nan,nan,nan,nan,nan,SOR,,
102,nan,nan,nan,nan,nan,0,NO,3,L,nan,Command,Heroism,Home One,8.0,7.0,7.0,Space,Restore 2,Unit,"Rebel, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
103,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Heroism,Rebel Assault,1.0,nan,nan,nan,nan,Event,"Rebel, Tactic",nan,nan,nan,nan,nan,SOR,,
104,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Heroism,U-Wing Reinforcement,7.0,nan,nan,nan,nan,Event,Supply,nan,nan,nan,nan,nan,SOR,,
105,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,Command,General Krell,5.0,5.0,4.0,Ground,nan,Unit,"Force, Jedi, Republic",nan,nan,nan,nan,nan,SOR,,
106,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,Command,Attack Pattern Delta,3.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
107,nan,nan,nan,nan,nan,0,NO,3,L,nan,Command,Command,Command,4.0,nan,nan,nan,nan,Event,Innate,nan,nan,nan,nan,nan,SOR,,
108,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Vanguard Infantry,1.0,1.0,2.0,Ground,nan,Unit,Trooper,nan,nan,nan,nan,nan,SOR,,
109,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,nan,Colonel Yularen,2.0,2.0,3.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
110,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,nan,Frontline Shuttle,2.0,1.0,3.0,Space,nan,Unit,"Vehicle, Transport",nan,nan,nan,nan,nan,SOR,,
111,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Patrolling V-Wing,2.0,1.0,1.0,Space,nan,Unit,"Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
112,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Consortium StarViper,3.0,3.0,3.0,Space,nan,Unit,"Fringe, Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
113,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Homestead Militia,3.0,3.0,4.0,Ground,nan,Unit,"Fringe, Trooper",nan,nan,nan,nan,nan,SOR,,
114,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Escort Skiff,4.0,4.0,4.0,Ground,nan,Unit,"Underworld, Vehicle, Speeder",nan,nan,nan,nan,nan,SOR,,
115,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,nan,Agent Kallus,5.0,4.0,4.0,Ground,Ambush,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
116,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Steadfast Battalion,5.0,5.0,5.0,Ground,Overwhelm,Unit,Trooper,nan,nan,nan,nan,nan,SOR,,
117,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Mercenary Company,6.0,5.0,5.0,Ground,"Ambush, Overwhelm",Unit,"Underworld, Trooper",nan,nan,nan,nan,nan,SOR,,
118,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,nan,97th Legion,7.0,0.0,0.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
119,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,nan,Reinforcement Walker,8.0,6.0,9.0,Ground,nan,Unit,"Vehicle, Walker",nan,nan,nan,nan,nan,SOR,,
120,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Academy Training,2.0,2.0,2.0,nan,nan,Upgrade,Learned,nan,nan,nan,nan,nan,SOR,,
121,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,nan,Hardpoint Heavy Blaster,2.0,2.0,2.0,nan,nan,Upgrade,"Modification, Weapon",nan,nan,nan,nan,nan,SOR,,
122,nan,nan,nan,nan,nan,0,NO,3,R,nan,Command,nan,Traitorous,5.0,0.0,0.0,nan,nan,Upgrade,Innate,nan,nan,nan,nan,nan,SOR,,
123,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Recruit,1.0,nan,nan,nan,nan,Event,Supply,nan,nan,nan,nan,nan,SOR,,
124,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Tactical Advantage,1.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
125,nan,nan,nan,nan,nan,0,NO,3,U,nan,Command,nan,Prepare for Takeoff,2.0,nan,nan,nan,nan,Event,Plan,nan,nan,nan,nan,nan,SOR,,
126,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Resupply,3.0,nan,nan,nan,nan,Event,Supply,nan,nan,nan,nan,nan,SOR,,
127,nan,nan,nan,nan,nan,0,NO,3,C,nan,Command,nan,Strike True,3.0,nan,nan,nan,nan,Event,Tactic,nan,nan,nan,nan,nan,SOR,,
128,nan,nan,nan,nan,nan,0,NO,3,C,nan,Aggression,Villainy,Death Star Stormtrooper,1.0,3.0,1.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
129,nan,nan,nan,nan,nan,0,NO,3,U,nan,Aggression,Villainy,Admiral Ozzel,2.0,2.0,3.0,Ground,nan,Unit,"Imperial, Official",nan,nan,nan,nan,nan,SOR,,
130,nan,nan,nan,nan,nan,0,NO,3,C,nan,Aggression,Villainy,First Legion Snowtrooper,2.0,2.0,3.0,Ground,nan,Unit,"Imperial, Trooper",nan,nan,nan,nan,nan,SOR,,
131,nan,nan,nan,nan,nan,0,NO,3,U,nan,Aggression,Villainy,Fifth Brother,3.0,2.0,4.0,Ground,nan,Unit,"Force, Imperial, Inquisitor",nan,nan,nan,nan,nan,SOR,,
132,nan,nan,nan,nan,nan,0,NO,3,C,nan,Aggression,Villainy,Imperial Interceptor,4.0,3.0,2.0,Space,nan,Unit,"Imperial, Vehicle, Fighter",nan,nan,nan,nan,nan,SOR,,
133,nan,nan,nan,nan,nan,0,NO,3,R,nan,Aggression,Villainy,Seventh Sister,5.0,3.0,6.0,Ground,Saboteur,Unit,"Force, Imperial, Inquisitor",nan,nan,nan,nan,nan,SOR,,
134,nan,nan,nan,nan,nan,0,NO,3,U,nan,Aggression,Villainy,Ruthless Raider,6.0,4.0,6.0,Space,nan,Unit,"Imperial, Vehicle, Capital Ship",nan,nan,nan,nan,nan,SOR,,
